******             Open     High     ...       Adj. Close  Adj. Volume
Date                           ...                              
2016-01-04  42.34  42.5000     ...        40.047007   16084145.0
2016-01-05  42.31  42.6250     ...        40.188683   15769463.0
2016-01-06  42.20  42.5100     ...        39.971447   16245132.0
2016-01-07  41.65  42.1100     ...        39.310293   20561556.0
2016-01-08  41.65  42.1200     ...        39.206398   14645738.0
2016-01-11  41.58  41.8599     ...        39.272513   15807748.0
2016-01-12  42.30  42.4500     ...        39.782546   21814837.0
2016-01-13  42.17  42.5700     ...        39.527530   16854282.0
2016-01-14  41.99  42.1700     ...        39.555865   16027468.0
2016-01-15  40.95  41.5900     ...        39.196953   21153542.0
2016-01-19  41.77  42.1200     ...        39.593645   15462140.0
2016-01-20  41.45  41.6200     ...        39.083612   19923495.0
2016-01-21  41.45  41.5100     ...        39.093057   15558254.0
2016-01-22  41.64  42.2385     ...        39.725876   15209235.0
2016-01-25  42.24  42.5000     ...        39.820326   12505160.0
2016-01-26  42.16  42.5000     ...        39.744766   13018471.0
2016-01-27  42.18  42.4600     ...        39.754211   14167006.0
2016-01-28  42.18  42.7200     ...        40.207573   16622810.0
2016-01-29  42.86  43.2600     ...        40.538150   20456815.0
2016-02-01  42.60  43.1500     ...        40.613710   17097846.0
2016-02-02  42.70  42.7900     ...        40.084787   12332896.0
2016-02-03  42.80  42.9350     ...        40.349249   15958302.0
2016-02-04  42.52  42.8900     ...        40.169793   14413744.0
2016-02-05  42.93  42.9900     ...        40.084787   17315347.0
2016-02-08  42.17  42.7000     ...        40.283133   17253832.0
2016-02-09  42.26  43.4900     ...        40.897062   24853137.0
2016-02-10  43.34  43.3900     ...        40.188683   16728238.0
2016-02-11  42.03  42.6100     ...        40.056452   16825337.0
2016-02-12  42.72  43.1350     ...        40.717606   15220530.0
2016-02-16  43.32  43.4600     ...        40.953732   12675761.0
...           ...      ...     ...              ...          ...
2017-11-16  46.95  46.9800     ...        46.550000   12495519.0
2017-11-17  46.34  46.3800     ...        45.710000   19691311.0
2017-11-20  45.65  45.8800     ...        45.460000   19146781.0
2017-11-21  45.56  45.9500     ...        45.780000   10204728.0
2017-11-22  45.89  45.9300     ...        45.840000    8121139.0
2017-11-24  45.89  46.0450     ...        45.880000    2996338.0
2017-11-27  45.88  45.9900     ...        45.900000    5629616.0
2017-11-28  45.99  46.1500     ...        45.830000    8306301.0
2017-11-29  45.77  45.8200     ...        45.500000   16435888.0
2017-11-30  45.14  45.8400     ...        45.770000   16358425.0
2017-12-01  45.80  46.0200     ...        45.970000   12467724.0
2017-12-04  45.99  46.3780     ...        46.230000   17503101.0
2017-12-05  46.25  46.4400     ...        46.260000   13452712.0
2017-12-06  46.33  46.4800     ...        46.450000    8137495.0
2017-12-07  46.29  46.3200     ...        45.780000    9064074.0
2017-12-08  45.70  45.7300     ...        45.310000   13026731.0
2017-12-11  45.18  45.4100     ...        45.330000    9593906.0
2017-12-12  45.25  45.5200     ...        45.290000   13906775.0
2017-12-13  45.45  46.0500     ...        45.900000   12212789.0
2017-12-14  45.90  46.1700     ...        46.030000    8932016.0
2017-12-15  46.29  46.4200     ...        46.190000   20161432.0
2017-12-18  46.23  46.3800     ...        45.930000   10021802.0
2017-12-19  46.08  46.3800     ...        46.130000    7727552.0
2017-12-20  46.18  46.3000     ...        46.080000    7296074.0
2017-12-21  46.15  46.2200     ...        45.600000    9391253.0
2017-12-22  45.64  45.7300     ...        45.590000    5394639.0
2017-12-26  45.70  45.8550     ...        45.810000    6043871.0
2017-12-27  45.90  45.9400     ...        45.930000    5041455.0
2017-12-28  45.91  45.9900     ...        45.720000    5642213.0
2017-12-29  45.70  46.1800     ...        45.880000    8293714.0

[502 rows x 12 columns]
